altitude,geo_altitude,height,horizontal_accuracy,location.lat,location.lon,pressure,speed_accuracy,time,velocity.x,velocity.y,velocity.z,vertical_accuracy
23.38,24.718529707955714,1.01,92.6,1.2795628309249878,103.85372924804688,1010.4454160714523,,2025-07-26T06:03:44.300000Z,1.8,-0.8,0.2,45.0
23.38,24.047163477677095,1.01,92.6,1.2795664072036743,103.85372924804688,1010.4454160714523,,2025-07-26T06:03:44.500000Z,1.8,-0.8,0.2,45.0
23.38,22.872272574689514,1.01,92.6,1.2795708179473877,103.85372924804688,1010.4454160714523,,2025-07-26T06:03:45Z,1.2000000000000002,-0.6000000000000001,0.0,45.0
23.38,22.872272574689514,1.01,92.6,1.279571294784546,103.85372924804688,1010.4454160714523,,2025-07-26T06:03:45.300000Z,1.2000000000000002,-0.6000000000000001,0.0,45.0
23.38,21.52954011413228,1.01,92.6,1.2796653509140015,103.85385131835938,1010.4454160714523,,2025-07-26T06:03:45.500000Z,1.4000000000000001,-0.6000000000000001,0.2,45.0
23.38,19.347599865726778,1.01,92.6,1.2797667980194092,103.8539810180664,1010.4454160714523,,2025-07-26T06:03:45.800000Z,2.2,-0.6000000000000001,0.4,45.0
23.26,17.669184290030234,0.89,92.6,1.2798285484313965,103.85405731201172,1010.4587666715618,,2025-07-26T06:03:46Z,3.8000000000000003,-0.2,0.8,45.0
23.26,16.494293387042653,0.89,92.6,1.2798678874969482,103.8541030883789,1010.4587666715618,,2025-07-26T06:03:46.300000Z,5.0,0.4,1.0,45.0
23.26,11.794729775092335,0.89,92.6,1.2798837423324585,103.85414123535156,1010.4587666715618,,2025-07-26T06:03:46.500000Z,5.2,1.2000000000000002,1.4000000000000001,45.0
23.26,10.78768042967441,0.89,92.6,1.2798924446105957,103.8541488647461,1010.4587666715618,,2025-07-26T06:03:46.800000Z,5.0,1.8,1.6,45.0
23.26,10.619838872104756,0.89,92.6,1.279899001121521,103.85416412353516,1010.4587666715618,,2025-07-26T06:03:47Z,4.800000000000001,2.0,1.8,45.0
23.26,10.284155756965447,0.89,92.6,1.2799071073532104,103.85417175292969,1010.4587666715618,,2025-07-26T06:03:47.300000Z,4.800000000000001,2.2,1.8,45.0
23.26,10.451997314535102,0.89,92.6,1.2799122333526611,103.85417938232422,1010.4587666715618,,2025-07-26T06:03:47.500000Z,4.800000000000001,2.4000000000000004,1.8,45.0
23.26,10.78768042967441,0.89,92.6,1.279917597770691,103.85420227050781,1010.4587666715618,,2025-07-26T06:03:47.800000Z,5.0,2.4000000000000004,1.6,45.0
23.26,10.284155756965447,0.89,92.6,1.27992582321167,103.85421752929688,1010.4587666715618,,2025-07-26T06:03:48Z,5.2,2.4000000000000004,1.6,45.0
